"Caso","F. De Reclamo","Direccion","Comuna","OT","Proveedor Asignado","Estado","Observaciones","Attachments","Tipo de tarea","Equipo","Tipo de Elemento"
"-516","7/16/2025","Olazabal 4417","12","808373646","INCO","Pendiente","Picada","1","Cambio","Sin equipos","Pasante"
"-517","7/16/2025","Av Dorrego 2721","14","808373635","Optical Power","Pendiente","Cambiar columna 114 base corroida y cable de fo cortado","1","Cambio","Sin equipos","Pasante"
"-518","7/16/2025","Crisologo Larralde 4073","12","808373627","AYKO","Pendiente","Cambiar columna corroída en base","1","Cambio","Sin equipos","Pasante"
"6437","7/17/2025","MILLER 4590","12","808400306","NEW","Pendiente","Columna corroida","1","Cambio","Sin equipos","Pasante"
"6447","7/17/2025","CIUDAD DE LA PAZ 1535","13","808400333","NEW","Pendiente","Picada","1","Cambio","Sin equipos","Pasante"
"-519","7/17/2025","Vilela 2687","12","808400334","NEW","Pendiente","CAmbiar columna 114 picada en base","1","Cambio","Sin equipos","Pasante"
"-520","7/17/2025","Pedraza Manuela 4101","12","808400353","NEW","Pendiente","Podrida en la base ","1","Cambio","Sin equipos","Pasante"
"6454","7/18/2025","HABANA 3382","11","808413466","AYKO","Pendiente","Picada","1","Cambio","Sin equipos","Pasante"
"6457","7/18/2025","BATLLE Y ORDOÑEZ, JOSE P.T. 4659","8","808413477","AYKO","Pendiente","Inclinada","1","Aplomo","Sin equipos","Pasante"
"-521","7/21/2025","Gregario Laferrere 6572","9","808430950","AYKO","Pendiente","Entre edificio 12 y edificio 13 columna corroida en base tambalea","1","Cambio","Sin equipos","Pasante"
"-522","7/21/2025","Uruguay 1090","2","808430941","INCO","Pendiente","Reclaman columna corroida y rienda fuera de norma pero no se ve en la foto.","1","Cambio","Sin equipos","Terminal"
